id,attack_cat
0,Normal
1,Exploits
2,Normal
3,Exploits
4,Exploits
5,Exploits
6,Exploits
7,Exploits
8,Exploits
9,Exploits
10,Exploits
11,Exploits
12,Exploits
13,Exploits
14,Exploits
15,Exploits
16,Exploits
17,Normal
18,Exploits
19,Exploits
20,Exploits
21,Exploits
22,Exploits
23,Exploits
24,Exploits
25,Exploits
26,Normal
27,Exploits
28,Exploits
29,Exploits
30,Exploits
31,Normal
32,Exploits
33,Fuzzers
34,Exploits
35,Exploits
36,Exploits
37,Exploits
38,Exploits
39,Reconnaissance
40,Normal
41,Exploits
42,Normal
43,Exploits
44,Exploits
45,Reconnaissance
46,Exploits
47,Exploits
48,Exploits
49,Exploits
50,Exploits
51,Exploits
52,Exploits
53,Exploits
54,Exploits
55,Exploits
56,Exploits
57,Generic
58,Exploits
59,Exploits
60,Exploits
61,Exploits
62,Exploits
63,Exploits
64,Exploits
65,Exploits
66,Exploits
67,Exploits
68,Generic
69,Exploits
70,Exploits
71,Exploits
72,Exploits
73,Exploits
74,Exploits
75,Exploits
76,Exploits
77,Exploits
78,Exploits
79,Exploits
80,Exploits
81,Normal
82,Normal
83,Exploits
84,Exploits
85,Exploits
86,Exploits
87,Exploits
88,Exploits
89,Exploits
90,Exploits
91,Exploits
92,Exploits
93,Exploits
94,Exploits
95,Exploits
96,Exploits
97,Normal
98,Exploits
99,Exploits
100,Exploits
101,Exploits
102,Exploits
103,Reconnaissance
104,Exploits
105,Exploits
106,Exploits
107,Exploits
108,Exploits
109,Exploits
110,Exploits
111,Exploits
112,Exploits
113,Exploits
114,Exploits
115,Exploits
116,Exploits
117,Exploits
118,Exploits
119,Exploits
120,Exploits
121,Exploits
122,Exploits
123,Exploits
124,Exploits
125,Exploits
126,Exploits
127,Exploits
128,Exploits
129,Fuzzers
130,Exploits
131,Exploits
132,DoS
133,Exploits
134,Exploits
135,Exploits
136,Exploits
137,Exploits
138,Exploits
139,Exploits
140,Exploits
141,Exploits
142,Exploits
143,Exploits
144,DoS
145,Reconnaissance
146,Exploits
147,Exploits
148,Reconnaissance
149,Exploits
150,Exploits
151,Exploits
152,Exploits
153,Exploits
154,Exploits
155,Exploits
156,Exploits
157,Normal
158,Exploits
159,Exploits
160,Exploits
161,Exploits
162,Analysis
163,Exploits
164,Exploits
165,Exploits
166,Exploits
167,DoS
168,Exploits
169,Exploits
170,Exploits
171,Exploits
172,Generic
173,Exploits
174,Fuzzers
175,Exploits
176,Exploits
177,Exploits
178,Exploits
179,Normal
180,Exploits
181,Exploits
182,Exploits
183,Generic
184,Generic
185,Exploits
186,Exploits
187,Exploits
188,Exploits
189,Exploits
190,Exploits
191,Normal
192,Reconnaissance
193,Exploits
194,Generic
195,Exploits
196,Exploits
197,Exploits
198,Exploits
199,Exploits
200,Exploits
201,Exploits
202,Exploits
203,Generic
204,Exploits
205,Exploits
206,Exploits
207,Exploits
208,Exploits
209,Exploits
210,Normal
211,Exploits
212,Exploits
213,Exploits
214,Exploits
215,Exploits
216,Exploits
217,Generic
218,Exploits
219,Exploits
220,Exploits
221,Exploits
222,Exploits
223,Exploits
224,Exploits
225,Exploits
226,Exploits
227,Exploits
228,Exploits
229,Exploits
230,Exploits
231,Exploits
232,Exploits
233,Exploits
234,Exploits
235,Exploits
236,Exploits
237,Exploits
238,Exploits
239,Exploits
240,Generic
241,Exploits
242,Exploits
243,Fuzzers
244,Exploits
245,Exploits
246,Exploits
247,Exploits
248,Exploits
249,Exploits
250,Exploits
251,Exploits
252,Normal
253,Exploits
254,Exploits
255,Exploits
256,Generic
257,Exploits
258,Fuzzers
259,Exploits
260,Exploits
261,Exploits
262,Exploits
263,Exploits
264,Exploits
265,Exploits
266,Exploits
267,Exploits
268,Normal
269,Exploits
270,Exploits
271,DoS
272,Exploits
273,Exploits
274,Exploits
275,Exploits
276,Exploits
277,Reconnaissance
278,Exploits
279,Exploits
280,Normal
281,Exploits
282,Reconnaissance
283,Exploits
284,Generic
285,Exploits
286,Generic
287,Exploits
288,Exploits
289,Exploits
290,Exploits
291,DoS
292,Exploits
293,Analysis
294,Exploits
295,Exploits
296,Exploits
297,DoS
298,Exploits
299,Exploits
300,DoS
301,Exploits
302,Exploits
303,Exploits
304,Exploits
305,Exploits
306,Exploits
307,Exploits
308,Reconnaissance
309,Exploits
310,Exploits
311,Exploits
312,Exploits
313,Exploits
314,Exploits
315,Exploits
316,Exploits
317,Exploits
318,Exploits
319,Exploits
320,Exploits
321,Exploits
322,Exploits
323,Exploits
324,Exploits
325,DoS
326,Normal
327,Exploits
328,Normal
329,Exploits
330,Exploits
331,Exploits
332,Normal
333,Exploits
334,Exploits
335,Exploits
336,Exploits
337,Reconnaissance
338,Exploits
339,Exploits
340,Normal
341,Exploits
342,Exploits
343,Fuzzers
344,Exploits
345,Exploits
346,Exploits
347,Exploits
348,Fuzzers
349,Exploits
350,Exploits
351,Normal
352,Exploits
353,Exploits
354,DoS
355,Exploits
356,Exploits
357,Exploits
358,Exploits
359,Exploits
360,Exploits
361,Generic
362,Exploits
363,Exploits
364,Exploits
365,Exploits
366,Exploits
367,Exploits
368,Exploits
369,Exploits
370,Exploits
371,Exploits
372,Exploits
373,Exploits
374,Exploits
375,Exploits
376,Exploits
377,Exploits
378,Exploits
379,Exploits
380,Exploits
381,Exploits
382,Exploits
383,Exploits
384,Exploits
385,Exploits
386,Exploits
387,Exploits
388,Exploits
389,Exploits
390,Exploits
391,Exploits
392,Exploits
393,Exploits
394,Exploits
395,Normal
396,Exploits
397,Exploits
398,Exploits
399,Exploits
400,Exploits
401,Exploits
402,DoS
403,Exploits
404,Exploits
405,Exploits
406,Exploits
407,Exploits
408,Fuzzers
409,Exploits
410,Exploits
411,Exploits
412,Exploits
413,Exploits
414,Exploits
415,Exploits
416,Exploits
417,Exploits
418,Exploits
419,Exploits
420,Exploits
421,Exploits
422,Exploits
423,Normal
424,Generic
425,DoS
426,Exploits
427,Exploits
428,Exploits
429,Exploits
430,Exploits
431,Exploits
432,Exploits
433,Exploits
434,Exploits
435,Generic
436,Exploits
437,Exploits
438,Exploits
439,Exploits
440,Exploits
441,Exploits
442,Exploits
443,Exploits
444,Exploits
445,Exploits
446,Exploits
447,Fuzzers
448,Exploits
449,Exploits
450,Exploits
451,Normal
452,Exploits
453,Exploits
454,Exploits
455,Exploits
456,Exploits
457,Exploits
458,Exploits
459,Exploits
460,Exploits
461,Normal
462,Exploits
463,Exploits
464,Exploits
465,Exploits
466,Exploits
467,Exploits
468,Exploits
469,Exploits
470,Exploits
471,Exploits
472,Exploits
473,Exploits
474,Exploits
475,Exploits
476,Exploits
477,Exploits
478,Exploits
479,Exploits
480,Generic
481,Exploits
482,Exploits
483,Exploits
484,Exploits
485,Exploits
486,Exploits
487,Exploits
488,Exploits
489,Exploits
490,Exploits
491,Normal
492,Exploits
493,Exploits
494,Exploits
495,Exploits
496,Exploits
497,Exploits
498,Exploits
499,Exploits
500,Exploits
501,Exploits
502,Exploits
503,Exploits
504,Exploits
505,Exploits
506,Exploits
507,Exploits
508,Exploits
509,Exploits
510,Exploits
511,Exploits
512,Exploits
513,Exploits
514,Exploits
515,Fuzzers
516,Exploits
517,Reconnaissance
518,Exploits
519,Exploits
520,Exploits
521,Exploits
522,Exploits
523,Normal
524,Exploits
525,Fuzzers
526,Exploits
527,Generic
528,Exploits
529,Exploits
530,Exploits
531,Exploits
532,Exploits
533,Exploits
